TIME,PC,INSTRUCTION,REG_DEST,PREV_VALUE,NEW_VALUE,UPDATE_TYPE
1864000,000000000002988c,0d813403,x8,0000000000010b00,0000000000010b00,LOAD
1868000,0000000000029890,0d013483,x9,0000000000097000,0000000000010bd8,LOAD
1872000,0000000000029894,0c813903,x18,0000000000097000,0000000000000000,LOAD
1876000,0000000000029898,0c013983,x19,0000000000097000,0000000000000000,LOAD
1880000,000000000002989c,0b813a03,x20,0000000000097000,0000000000000000,LOAD
1884000,00000000000298a0,0b013a83,x21,0000000000000000,0000000000000000,LOAD
1888000,00000000000298a4,0a813b03,x22,0000000000000000,0000000000000000,LOAD
1892000,00000000000298a8,0a013b83,x23,0000000000000000,0000000000000000,LOAD
1896000,00000000000298ac,09813c03,x24,0000000000000000,0000000000000000,LOAD
1900000,00000000000298b0,09013c83,x25,0000000000000000,0000000000000000,LOAD
1904000,00000000000298b4,08813d03,x26,0000000000000000,0000000000000000,LOAD
1908000,00000000000298b8,08013d83,x27,0000000000000000,0000000000000000,LOAD
1911000,00000000000298bc,0e010113,x2,000000003fbffde0,000000003fbffec0,ALU
2015500,00000000000104f8,000977b7,x15,000000000000000f,0000000000097000,ALU
2019500,00000000000104fc,0d07b703,x14,00000000000760f0,0000000000000000,LOAD
2111500,000000000001069c,00010737,x14,0000000000000000,0000000000010000,ALU
2114500,00000000000106a0,00070713,x14,0000000000010000,0000000000010000,ALU
2166000,00000000000106a8,03675683,x13,000000000000001e,0000000000000038,LOAD
2169000,00000000000106ac,03800613,x12,0000000000000001,0000000000000038,ALU
2220500,00000000000106d4,02073683,x13,0000000000000038,0000000000000040,LOAD
2224500,00000000000106d8,03875603,x12,0000000000000038,0000000000000005,LOAD
2227500,00000000000106dc,00e68733,x14,0000000000010000,0000000000010040,ALU
2234500,00000000000106e4,000977b7,x15,0000000000097000,0000000000097000,ALU
2247000,0000000000010504,9e01a783,x15,0000000000097000,0000000000000000,LOAD
2300500,0000000000010668,629190ef,x1,00000000000104f8,000000000001066c,JUMP
2348500,000000000002a490,e1010113,x2,000000003fbffec0,000000003fbffcd0,ALU
2351500,000000000002a494,04810513,x10,000000003fc00050,000000003fbffd18,ALU
2366500,000000000002a4a4,7e4210ef,x1,000000000001066c,000000000002a4a8,JUMP
2417500,000000000004bc88,03f00893,x17,0000000000000000,000000000000003f,ALU
2422000,000000000004bc8c,00000073,x10,000000003fbffd18,0000000000000000,ECALL
2423000,000000000004bc8c,00000073,x10,0000000000000000,0000000000000000,ECALL
2424000,000000000004bc8c,00000073,x10,0000000000000000,0000000000000000,ECALL
2425000,000000000004bc8c,00000073,x10,0000000000000000,0000000000000000,ECALL
2426000,000000000004bc8c,00000073,x10,0000000000000000,0000000000000000,ECALL
2427000,000000000004bc8c,00000073,x10,0000000000000000,0000000000000000,ECALL
2428000,000000000004bc8c,00000073,x10,0000000000000000,0000000000000000,ECALL
2429000,000000000004bc8c,00000073,x10,0000000000000000,0000000000000000,ECALL
2430000,000000000004bc8c,00000073,x10,0000000000000000,0000000000000000,ECALL
2431000,000000000004bc8c,00000073,x10,0000000000000000,0000000000000000,ECALL
2432000,000000000004bc8c,00000073,x10,0000000000000000,0000000000000000,ECALL
2432500,000000000004bc8c,00000073,x10,0000000000000000,0000000000000000,ECALL
2433000,000000000004bc8c,00000073,x10,0000000000000000,0000000000000000,ECALL
2433500,000000000004bc8c,00000073,x10,0000000000000000,0000000000000000,ECALL
2434000,000000000004bc8c,00000073,x10,0000000000000000,0000000000000000,ECALL
2434500,000000000004bc8c,00000073,x10,0000000000000000,0000000000000000,ECALL
2435000,000000000004bc8c,00000073,x10,0000000000000000,0000000000000000,ECALL
2435500,000000000004bc8c,00000073,x10,0000000000000000,0000000000000000,ECALL
2436000,000000000004bc8c,00000073,x10,0000000000000000,0000000000000000,ECALL
2436500,000000000004bc8c,00000073,x10,0000000000000000,0000000000000000,ECALL
2437000,000000000004bc8c,00000073,x10,0000000000000000,0000000000000000,ECALL
2437500,000000000004bc8c,00000073,x10,0000000000000000,0000000000000000,ECALL
2438000,000000000004bc8c,00000073,x10,0000000000000000,0000000000000000,ECALL
2438500,000000000004bc8c,00000073,x10,0000000000000000,0000000000000000,ECALL
2439000,000000000004bc8c,00000073,x10,0000000000000000,0000000000000000,ECALL
2439500,000000000004bc8c,00000073,x10,0000000000000000,0000000000000000,ECALL
2495500,000000000002a4a8,0ca10693,x13,0000000000000040,000000003fbffd9a,ALU
2501500,000000000002a4b0,00000893,x17,000000000000003f,0000000000000000,ALU
2504500,000000000002a4b4,00000513,x10,0000000000000000,0000000000000000,ALU
2507500,000000000002a4b8,00900813,x16,0000000000093fa0,0000000000000009,ALU
2510500,000000000002a4bc,02e00313,x6,0000000000000000,000000000000002e,ALU
2564500,000000000002a4c0,00300e13,x28,0000000000097000,0000000000000003,ALU
2613000,000000000002a4c4,0006c783,x15,0000000000000000,0000000000000032,LOAD
2616000,000000000002a4c8,fd07879b,x15,0000000000000032,0000000000000002,ALU
2619000,000000000002a4cc,0ff7f713,x14,0000000000010040,0000000000000002,ALU
2626000,000000000002a4d4,0016c583,x11,0000000000000000,000000000000002e,LOAD
2629000,000000000002a4d8,00078713,x14,0000000000000002,0000000000000002,ALU
2632000,000000000002a4dc,00168693,x13,000000003fbffd9a,000000003fbffd9b,ALU
2635000,000000000002a4e0,fd05861b,x12,0000000000000005,fffffffffffffffe,ALU
2638000,000000000002a4e4,0ff67793,x15,0000000000000002,00000000000000fe,ALU
2693500,000000000002a510,0085151b,x10,0000000000000000,0000000000000000,ALU
2696500,000000000002a514,0018889b,x17,0000000000000000,0000000000000001,ALU
2699500,000000000002a518,00e56533,x10,0000000000000000,0000000000000002,ALU
2702500,000000000002a51c,00168693,x13,000000003fbffd9b,000000003fbffd9c,ALU
2714000,000000000002a4c4,0006c783,x15,00000000000000fe,0000000000000036,LOAD
2717000,000000000002a4c8,fd07879b,x15,0000000000000036,0000000000000006,ALU
2720000,000000000002a4cc,0ff7f713,x14,0000000000000002,0000000000000006,ALU
2727000,000000000002a4d4,0016c583,x11,000000000000002e,000000000000002e,LOAD
2730000,000000000002a4d8,00078713,x14,0000000000000006,0000000000000006,ALU
2733000,000000000002a4dc,00168693,x13,000000003fbffd9c,000000003fbffd9d,ALU
2736000,000000000002a4e0,fd05861b,x12,fffffffffffffffe,fffffffffffffffe,ALU
2739000,000000000002a4e4,0ff67793,x15,0000000000000006,00000000000000fe,ALU
2746500,000000000002a510,0085151b,x10,0000000000000002,0000000000000200,ALU
2749500,000000000002a514,0018889b,x17,0000000000000001,0000000000000002,ALU
2752500,000000000002a518,00e56533,x10,0000000000000200,0000000000000206,ALU
2755500,000000000002a51c,00168693,x13,000000003fbffd9d,000000003fbffd9e,ALU
2767000,000000000002a4c4,0006c783,x15,00000000000000fe,0000000000000033,LOAD
2770000,000000000002a4c8,fd07879b,x15,0000000000000033,0000000000000003,ALU
2773000,000000000002a4cc,0ff7f713,x14,0000000000000006,0000000000000003,ALU
2780000,000000000002a4d4,0016c583,x11,000000000000002e,0000000000000032,LOAD
2783000,000000000002a4d8,00078713,x14,0000000000000003,0000000000000003,ALU
2786000,000000000002a4dc,00168693,x13,000000003fbffd9e,000000003fbffd9f,ALU
2789000,000000000002a4e0,fd05861b,x12,fffffffffffffffe,0000000000000002,ALU
2792000,000000000002a4e4,0ff67793,x15,0000000000000003,0000000000000002,ALU
2798000,000000000002a4ec,00168693,x13,000000003fbffd9f,000000003fbffda0,ALU
2801000,000000000002a4f0,0027179b,x15,0000000000000002,000000000000000c,ALU
2805000,000000000002a4f4,0006c583,x11,0000000000000032,000000000000002d,LOAD
2808000,000000000002a4f8,00e787bb,x15,000000000000000c,000000000000000f,ALU
2811000,000000000002a4fc,0017979b,x15,000000000000000f,000000000000001e,ALU
2814000,000000000002a500,00f6073b,x14,0000000000000003,0000000000000020,ALU
2817000,000000000002a504,fd05861b,x12,0000000000000002,fffffffffffffffd,ALU
2820000,000000000002a508,0ff67793,x15,000000000000001e,00000000000000fd,ALU
2826000,000000000002a510,0085151b,x10,0000000000000206,0000000000020600,ALU
2829000,000000000002a514,0018889b,x17,0000000000000002,0000000000000003,ALU
2832000,000000000002a518,00e56533,x10,0000000000020600,0000000000020620,ALU
2835000,000000000002a51c,00168693,x13,000000003fbffda0,000000003fbffda1,ALU
2842500,000000000002a53c,00300793,x15,00000000000000fd,0000000000000003,ALU
2943000,000000000002a528,1e813083,x1,000000000002a4a8,000000000001066c,LOAD
2947000,000000000002a52c,1e013403,x8,0000000000010b00,0000000000010b00,LOAD
2951000,000000000002a530,1d813483,x9,0000000000010bd8,0000000000010bd8,LOAD
2954000,000000000002a534,1f010113,x2,000000003fbffcd0,000000003fbffec0,ALU
2964500,0000000000010670,000977b7,x15,0000000000000003,0000000000097000,ALU
2968500,0000000000010674,1287a783,x15,0000000000097000,0000000000000000,LOAD
2974500,000000000001067c,000977b7,x15,0000000000000000,0000000000097000,ALU
3027500,0000000000010684,000207b7,x15,0000000000097000,0000000000020000,ALU
3030500,0000000000010688,61f7879b,x15,0000000000020000,000000000002061f,ALU
3038000,000000000001050c,5c8000ef,x1,000000000001066c,0000000000010510,JUMP
3092500,0000000000010ad4,01000593,x11,000000000000002d,0000000000000010,ALU
3095500,0000000000010ad8,00000513,x10,0000000000020620,0000000000000000,ALU
3146500,0000000000010884,000977b7,x15,000000000002061f,0000000000097000,ALU
3150500,0000000000010888,0d07b783,x15,0000000000097000,0000000000010040,LOAD
3153500,000000000001088c,fa010113,x2,000000003fbffec0,000000003fbffe60,ALU
3293500,00000000000108c0,00058a93,x21,0000000000000000,0000000000000010,ALU
3299500,00000000000108c8,00097737,x14,0000000000000020,0000000000097000,ALU
3303500,00000000000108cc,10873683,x13,000000003fbffda1,0000000000000005,LOAD
3306500,00000000000108d0,00369713,x14,0000000000097000,0000000000000028,ALU
3309500,00000000000108d4,40d70733,x14,0000000000000028,0000000000000023,ALU
