TIME,PC,INSTRUCTION,ALU_OP,OPERAND1,OPERAND2,RESULT,ZERO,ALU_32
444000,00000000000104c4,00c12503,ALU_LW,000000003fbffec0,000000000000000c,000000003fbffecc,0,0
444000,00000000000104c4,00c12503,ALU_LW,000000003fbffec0,000000000000000c,000000003fbffecc,0,0
448000,00000000000104c8,01013703,ALU_LD,000000003fbffec0,0000000000000010,000000003fbffed0,0,0
448000,00000000000104c8,01013703,ALU_LD,000000003fbffec0,0000000000000010,000000003fbffed0,0,0
452000,00000000000104cc,00150513,ALU_ADDI,0000000000000001,0000000000000001,0000000000000002,0,0
452000,00000000000104cc,00150513,ALU_ADDI,0000000000000001,0000000000000001,0000000000000002,0,0
455000,00000000000104d0,00351513,ALU_SLLI,0000000000000002,0000000000000003,0000000000000010,0,0
455000,00000000000104d0,00351513,ALU_SLLI,0000000000000002,0000000000000003,0000000000000010,0,0
458000,00000000000104d4,00a70533,ALU_ADD,000000003fc00008,0000000000000010,000000003fc00018,0,0
458000,00000000000104d4,00a70533,ALU_ADD,000000003fc00008,0000000000000010,000000003fc00018,0,0
461000,00000000000104d8,9ef1a023,ALU_SW,00000000000960f0,fffffffffffff9e0,0000000000095ad0,0,0
461000,00000000000104d8,9ef1a023,ALU_SW,00000000000960f0,fffffffffffff9e0,0000000000095ad0,0,0
513500,00000000000104dc,b6a1b023,ALU_SD,00000000000960f0,fffffffffffffb60,0000000000095c50,0,0
513500,00000000000104dc,b6a1b023,ALU_SD,00000000000960f0,fffffffffffffb60,0000000000095c50,0,0
561500,00000000000104e0,000947b7,ALU_LUI,0000000000000000,0000000000094000,0000000000094000,0,0
561500,00000000000104e0,000947b7,ALU_LUI,0000000000000000,0000000000094000,0000000000094000,0,0
564500,00000000000104e4,fb07b823,ALU_SD,0000000000094000,ffffffffffffffb0,0000000000093fb0,0,0
564500,00000000000104e4,fb07b823,ALU_SD,0000000000094000,ffffffffffffffb0,0000000000093fb0,0,0
612500,00000000000104e8,00850513,ALU_ADDI,000000003fc00018,0000000000000008,000000003fc00020,0,0
612500,00000000000104e8,00850513,ALU_ADDI,000000003fc00018,0000000000000008,000000003fc00020,0,0
615500,00000000000104ec,ff853783,ALU_LD,000000003fc00020,fffffffffffffff8,000000003fc00018,0,0
615500,00000000000104ec,ff853783,ALU_LD,000000003fc00020,fffffffffffffff8,000000003fc00018,0,0
619500,00000000000104f0,fe079ce3,ALU_BNE,0000000000000000,0000000000000000,0000000000000000,1,0
619500,00000000000104f0,fe079ce3,ALU_BNE,0000000000000000,0000000000000000,0000000000000000,1,0
622500,00000000000104f4,1b8190ef,ALU_JAL,00000000000104f4,0000000000000004,00000000000104f8,0,0
622500,00000000000104f4,1b8190ef,ALU_JAL,00000000000104f4,0000000000000004,00000000000104f8,0,0
681000,00000000000296ac,00053783,ALU_LD,000000003fc00020,0000000000000000,000000003fc00020,0,0
681000,00000000000296ac,00053783,ALU_LD,000000003fc00020,0000000000000000,000000003fc00020,0,0
685000,00000000000296b0,00097737,ALU_LUI,0000000000000000,0000000000097000,0000000000097000,0,0
685000,00000000000296b0,00097737,ALU_LUI,0000000000000000,0000000000097000,0000000000097000,0,0
688000,00000000000296b4,0aa73423,ALU_SD,0000000000097000,00000000000000a8,00000000000970a8,0,0
688000,00000000000296b4,0aa73423,ALU_SD,0000000000097000,00000000000000a8,00000000000970a8,0,0
738500,00000000000296b8,38078c63,ALU_BEQ,2f6465726168732f,0000000000000000,0000000000000000,1,0
738500,00000000000296b8,38078c63,ALU_BEQ,2f6465726168732f,0000000000000000,0000000000000000,1,0
741500,00000000000296bc,00097fb7,ALU_LUI,0000000000000000,0000000000097000,0000000000097000,0,0
741500,00000000000296bc,00097fb7,ALU_LUI,0000000000000000,0000000000097000,0000000000097000,0,0
789000,00000000000296c0,0f0fb703,ALU_LD,0000000000097000,00000000000000f0,00000000000970f0,0,0
789000,00000000000296c0,0f0fb703,ALU_LD,0000000000097000,00000000000000f0,00000000000970f0,0,0
843500,00000000000296c4,f2010113,ALU_ADDI,000000003fbffec0,ffffffffffffff20,000000003fbffde0,0,0
843500,00000000000296c4,f2010113,ALU_ADDI,000000003fbffec0,ffffffffffffff20,000000003fbffde0,0,0
846500,00000000000296c8,04e13423,ALU_SD,000000003fbffde0,0000000000000048,000000003fbffe28,0,0
846500,00000000000296c8,04e13423,ALU_SD,000000003fbffde0,0000000000000048,000000003fbffe28,0,0
894500,00000000000296cc,b801b703,ALU_LD,00000000000960f0,fffffffffffffb80,0000000000095c70,0,0
894500,00000000000296cc,b801b703,ALU_LD,00000000000960f0,fffffffffffffb80,0000000000095c70,0,0
898500,00000000000296d0,00094eb7,ALU_LUI,0000000000000000,0000000000094000,0000000000094000,0,0
898500,00000000000296d0,00094eb7,ALU_LUI,0000000000000000,0000000000094000,0000000000094000,0,0
901500,00000000000296d4,00097e37,ALU_LUI,0000000000000000,0000000000097000,0000000000097000,0,0
901500,00000000000296d4,00097e37,ALU_LUI,0000000000000000,0000000000097000,0000000000097000,0,0
904500,00000000000296d8,02e13423,ALU_SD,000000003fbffde0,0000000000000028,000000003fbffe08,0,0
904500,00000000000296d8,02e13423,ALU_SD,000000003fbffde0,0000000000000028,000000003fbffe08,0,0
908500,00000000000296dc,fb8ea703,ALU_LW,0000000000094000,ffffffffffffffb8,0000000000093fb8,0,0
908500,00000000000296dc,fb8ea703,ALU_LW,0000000000094000,ffffffffffffffb8,0000000000093fb8,0,0
912500,00000000000296e0,0c813c23,ALU_SD,000000003fbffde0,00000000000000d8,000000003fbffeb8,0,0
912500,00000000000296e0,0c813c23,ALU_SD,000000003fbffde0,00000000000000d8,000000003fbffeb8,0,0
963500,00000000000296e4,06e12023,ALU_SW,000000003fbffde0,0000000000000060,000000003fbffe40,0,0
963500,00000000000296e4,06e12023,ALU_SW,000000003fbffde0,0000000000000060,000000003fbffe40,0,0
1011500,00000000000296e8,138e2703,ALU_LW,0000000000097000,0000000000000138,0000000000097138,0,0
1011500,00000000000296e8,138e2703,ALU_LW,0000000000097000,0000000000000138,0000000000097138,0,0
1059500,00000000000296ec,0c913823,ALU_SD,000000003fbffde0,00000000000000d0,000000003fbffeb0,0,0
1059500,00000000000296ec,0c913823,ALU_SD,000000003fbffde0,00000000000000d0,000000003fbffeb0,0,0
1063500,00000000000296f0,06e12223,ALU_SW,000000003fbffde0,0000000000000064,000000003fbffe44,0,0
1063500,00000000000296f0,06e12223,ALU_SW,000000003fbffde0,0000000000000064,000000003fbffe44,0,0
1067500,00000000000296f4,b781a703,ALU_LW,00000000000960f0,fffffffffffffb78,0000000000095c68,0,0
