TIME,OP,PC,ADDR,SIZE,SIGN,DATA,HIT_MISS,SET,TAG,WAY,INSTRUCTION
21409500,WRITE,00000000000520dc,000000003fbffd48,7,1,0000000000093fc8, HIT,21,0000000007f7ff,1,f4d43423
21410000,WRITE,00000000000520dc,000000003fbffd48,7,1,0000000000093fc8, HIT,21,0000000007f7ff,1,f4d43423
21571500, READ,0000000000052138,00000000000970c0,7,1,0000000000000000, HIT,3,0000000000012e,1,0c07bb03
21572000, READ,0000000000052138,00000000000970c0,7,1,0000000000000000, HIT,3,0000000000012e,1,0c07bb03
21964000,WRITE,000000000005237c,000000003fbffd30,7,1,00000000000860a0, HIT,20,0000000007f7ff,1,00d7b023
21964500,WRITE,000000000005237c,000000003fbffd30,7,1,00000000000860a0, HIT,20,0000000007f7ff,1,00d7b023
21972500,WRITE,0000000000052384,000000003fbffd38,7,1,0000000000000003, HIT,20,0000000007f7ff,1,00d7b423
21973000,WRITE,0000000000052384,000000003fbffd38,7,1,0000000000000003, HIT,20,0000000007f7ff,1,00d7b423
21982500, READ,0000000000052390,000000003fbffd38,7,1,0000000000000003, HIT,20,0000000007f7ff,1,0089bc83
21983000, READ,0000000000052390,000000003fbffd38,7,1,0000000000000003, HIT,20,0000000007f7ff,1,0089bc83
22039500, READ,00000000000526c0,000000003fbffd78,7,1,0000000000093fd0, HIT,21,0000000007f7ff,1,f7843783
22040000, READ,00000000000526c0,000000003fbffd78,7,1,0000000000093fd0, HIT,21,0000000007f7ff,1,f7843783
22093000,WRITE,00000000000526cc,0000000000093fd0,7,1,0000000000000002, HIT,31,00000000000127,0,0097b023
22093500,WRITE,00000000000526cc,0000000000093fd0,7,1,0000000000000002, HIT,31,00000000000127,0,0097b023
22219000, READ,0000000000022f40,0000000000095a58,7,1,0000000000000000, HIT,9,0000000000012b,1,9681b303
22219500, READ,0000000000022f40,0000000000095a58,7,1,0000000000000000, HIT,9,0000000000012b,1,9681b303
22229000,WRITE,0000000000022f4c,000000003fbffd20,7,1,000000003fbffe00, HIT,20,0000000007f7ff,1,00813823
22229500,WRITE,0000000000022f4c,000000003fbffd20,7,1,000000003fbffe00, HIT,20,0000000007f7ff,1,00813823
22303000, READ,0000000000022f50,0000000000098728,7,1,0000000000094698, HIT,28,00000000000130,1,02823403
22303500, READ,0000000000022f50,0000000000098728,7,1,0000000000094698, HIT,28,00000000000130,1,02823403
22307000,WRITE,0000000000022f54,000000003fbffd18,7,1,0000000000000002, HIT,20,0000000007f7ff,1,00913423
