TIME,PC,INSTRUCTION,REG_A_CONTENTS,REG_B_CONTENTS,REGA_FINAL,REGB_FINAL,ALU_RESULT,JUMP_TARGET,JUMP_TAKEN,ALU_OP,ALU_OP_NAME,OPCODE,OPCODE_NAME,IMMEDIATE
393000,00000000000104b8,00030663,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000001,00000000000104c4,1, 60,ALU_BEQ, 99,OP_BRANCH,000000000000000c
444500,00000000000104c4,00c12503,000000003fbffec0,0000000000000000,0000000000000000,000000003fbffec0,000000000000000c,000000003fbffecc,0000000000000000,0, 82,ALU_LW,  3,OP_LOAD,000000000000000c
448500,00000000000104c8,01013703,000000003fbffec0,0000000000000000,0000000000000000,000000003fbffec0,0000000000000010,000000003fbffed0,0000000000000000,0, 86,ALU_LD,  3,OP_LOAD,0000000000000010
452500,00000000000104cc,00150513,0000000000000001,0000000000000000,0000000000000000,0000000000000001,0000000000000001,0000000000000002,0000000000000000,0, 18,ALU_ADDI, 19,OP_OP_IMM,0000000000000001
455500,00000000000104d0,00351513,0000000000000002,0000000000000000,0000000000000000,0000000000000002,0000000000000003,0000000000000010,0000000000000000,0, 22,ALU_SLLI, 19,OP_OP_IMM,0000000000000003
458500,00000000000104d4,00a70533,000000003fc00008,0000000000000010,0000000000000010,000000003fc00008,0000000000000010,000000003fc00018,0000000000000000,0,  0,ALU_ADD, 51,OP_OP,0000000000000000
461500,00000000000104d8,9ef1a023,00000000000960f0,0000000000000000,0000000000000000,00000000000960f0,fffffffffffff9e0,0000000000095ad0,0000000000000000,0, 52,ALU_SW, 35,OP_STORE,fffffffffffff9e0
514000,00000000000104dc,b6a1b023,00000000000960f0,000000003fc00018,000000003fc00018,00000000000960f0,fffffffffffffb60,0000000000095c50,0000000000000000,0, 53,ALU_SD, 35,OP_STORE,fffffffffffffb60
562000,00000000000104e0,000947b7,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000094000,0000000000094000,0000000000000000,0, 72,ALU_LUI, 55,OP_LUI,0000000000094000
565000,00000000000104e4,fb07b823,0000000000094000,000000003fc00000,000000003fc00000,0000000000094000,ffffffffffffffb0,0000000000093fb0,0000000000000000,0, 53,ALU_SD, 35,OP_STORE,ffffffffffffffb0
613000,00000000000104e8,00850513,000000003fc00018,0000000000000000,0000000000000000,000000003fc00018,0000000000000008,000000003fc00020,0000000000000000,0, 18,ALU_ADDI, 19,OP_OP_IMM,0000000000000008
616000,00000000000104ec,ff853783,000000003fc00020,0000000000000000,0000000000000000,000000003fc00020,fffffffffffffff8,000000003fc00018,0000000000000000,0, 86,ALU_LD,  3,OP_LOAD,fffffffffffffff8
620000,00000000000104f0,fe079ce3,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0, 61,ALU_BNE, 99,OP_BRANCH,fffffffffffffff8
623000,00000000000104f4,1b8190ef,0000000000000000,0000000000000000,0000000000000000,00000000000104f4,0000000000000004,00000000000104f8,00000000000296ac,1, 70,ALU_JAL,111,OP_JAL,00000000000191b8
681500,00000000000296ac,00053783,000000003fc00020,0000000000000000,0000000000000000,000000003fc00020,0000000000000000,000000003fc00020,0000000000000000,0, 86,ALU_LD,  3,OP_LOAD,0000000000000000
685500,00000000000296b0,00097737,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000097000,0000000000097000,0000000000000000,0, 72,ALU_LUI, 55,OP_LUI,0000000000097000
688500,00000000000296b4,0aa73423,0000000000097000,000000003fc00020,000000003fc00020,0000000000097000,00000000000000a8,00000000000970a8,0000000000000000,0, 53,ALU_SD, 35,OP_STORE,00000000000000a8
739000,00000000000296b8,38078c63,2f6465726168732f,0000000000000000,0000000000000000,2f6465726168732f,0000000000000000,0000000000000000,0000000000000000,0, 60,ALU_BEQ, 99,OP_BRANCH,0000000000000398
742000,00000000000296bc,00097fb7,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000097000,0000000000097000,0000000000000000,0, 72,ALU_LUI, 55,OP_LUI,0000000000097000
789500,00000000000296c0,0f0fb703,0000000000097000,0000000000000000,0000000000000000,0000000000097000,00000000000000f0,00000000000970f0,0000000000000000,0, 86,ALU_LD,  3,OP_LOAD,00000000000000f0
844000,00000000000296c4,f2010113,000000003fbffec0,0000000000000000,0000000000000000,000000003fbffec0,ffffffffffffff20,000000003fbffde0,0000000000000000,0, 18,ALU_ADDI, 19,OP_OP_IMM,ffffffffffffff20
847000,00000000000296c8,04e13423,000000003fbffde0,0000000000000000,0000000000000000,000000003fbffde0,0000000000000048,000000003fbffe28,0000000000000000,0, 53,ALU_SD, 35,OP_STORE,0000000000000048
895000,00000000000296cc,b801b703,00000000000960f0,0000000000000000,0000000000000000,00000000000960f0,fffffffffffffb80,0000000000095c70,0000000000000000,0, 86,ALU_LD,  3,OP_LOAD,fffffffffffffb80
899000,00000000000296d0,00094eb7,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000094000,0000000000094000,0000000000000000,0, 72,ALU_LUI, 55,OP_LUI,0000000000094000
902000,00000000000296d4,00097e37,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000097000,0000000000097000,0000000000000000,0, 72,ALU_LUI, 55,OP_LUI,0000000000097000
905000,00000000000296d8,02e13423,000000003fbffde0,0000000000000000,0000000000000000,000000003fbffde0,0000000000000028,000000003fbffe08,0000000000000000,0, 53,ALU_SD, 35,OP_STORE,0000000000000028
909000,00000000000296dc,fb8ea703,0000000000094000,0000000000000000,0000000000000000,0000000000094000,ffffffffffffffb8,0000000000093fb8,0000000000000000,0, 82,ALU_LW,  3,OP_LOAD,ffffffffffffffb8
